open,high,low,close,tick_volume,spread,time,date
44024.0,44062.1,44022.9,44033.0,563,520,2025-07-01 01:00:00,1751331600
44034.0,44077.1,44023.1,44076.1,820,520,2025-07-01 02:00:00,1751335200
44076.6,44128.1,44076.6,44121.0,1821,520,2025-07-01 03:00:00,1751338800
44122.0,44129.1,44102.1,44126.1,1281,520,2025-07-01 04:00:00,1751342400
44125.1,44125.6,44057.1,44059.1,977,520,2025-07-01 05:00:00,1751346000
44060.1,44070.1,44048.0,44051.5,901,520,2025-07-01 06:00:00,1751349600
44051.0,44065.9,44034.0,44036.0,803,520,2025-07-01 07:00:00,1751353200
44036.5,44064.5,44027.0,44047.0,1021,520,2025-07-01 08:00:00,1751356800
44047.5,44058.6,44026.1,44049.1,1570,500,2025-07-01 09:00:00,1751360400
44050.1,44100.6,44023.1,44061.6,2727,500,2025-07-01 10:00:00,1751364000
44064.1,44078.1,44028.1,44062.1,2516,500,2025-07-01 11:00:00,1751367600
44061.1,44067.1,44020.1,44059.1,1762,500,2025-07-01 12:00:00,1751371200
44060.1,44071.1,44028.6,44046.1,1149,500,2025-07-01 13:00:00,1751374800
44047.1,44069.1,44040.1,44062.1,1653,500,2025-07-01 14:00:00,1751378400
44061.6,44068.1,43987.1,44044.1,2841,500,2025-07-01 15:00:00,1751382000
44043.1,44246.2,44009.2,44184.7,6748,480,2025-07-01 16:00:00,1751385600
44163.2,44383.2,44163.2,44354.5,10019,480,2025-07-01 17:00:00,1751389200
44355.5,44546.6,44347.5,44519.1,7004,480,2025-07-01 18:00:00,1751392800
44520.1,44604.6,44423.1,44423.1,8222,480,2025-07-01 19:00:00,1751396400
44423.6,44569.1,44405.1,44561.6,6707,480,2025-07-01 20:00:00,1751400000
44565.1,44585.1,44494.1,44560.6,5108,480,2025-07-01 21:00:00,1751403600
44559.6,44592.1,44480.5,44501.1,8777,480,2025-07-01 22:00:00,1751407200
44500.1,44522.5,44482.1,44517.0,2127,480,2025-07-01 23:00:00,1751410800
44506.1,44525.8,44486.7,44525.3,906,520,2025-07-02 01:00:00,1751418000
44525.8,44528.8,44503.8,44514.8,797,520,2025-07-02 02:00:00,1751421600
44517.3,44534.2,44512.3,44519.3,1228,520,2025-07-02 03:00:00,1751425200
44518.3,44523.3,44479.7,44484.7,1132,520,2025-07-02 04:00:00,1751428800
44483.7,44551.7,44469.8,44550.2,1291,520,2025-07-02 05:00:00,1751432400
44553.2,44571.3,44549.7,44563.3,835,520,2025-07-02 06:00:00,1751436000
44563.8,44615.7,44561.3,44594.2,1063,520,2025-07-02 07:00:00,1751439600
44593.7,44594.2,44563.8,44583.7,1144,520,2025-07-02 08:00:00,1751443200
44584.9,44650.9,44580.9,44650.9,1814,500,2025-07-02 09:00:00,1751446800
44651.9,44653.9,44553.9,44571.4,2829,500,2025-07-02 10:00:00,1751450400
44567.9,44585.3,44525.8,44552.3,2786,500,2025-07-02 11:00:00,1751454000
44551.3,44576.8,44542.8,44573.3,1625,500,2025-07-02 12:00:00,1751457600
44572.8,44601.3,44556.8,44586.8,1526,500,2025-07-02 13:00:00,1751461200
44584.8,44616.3,44538.7,44558.8,1949,500,2025-07-02 14:00:00,1751464800
44560.8,44571.8,44469.7,44482.8,5016,500,2025-07-02 15:00:00,1751468400
44483.3,44507.9,44347.8,44397.8,8192,480,2025-07-02 16:00:00,1751472000
44398.8,44471.9,44337.9,44439.4,9008,480,2025-07-02 17:00:00,1751475600
44442.9,44544.4,44405.9,44483.9,7072,480,2025-07-02 18:00:00,1751479200
44484.4,44492.2,44420.2,44458.2,5698,480,2025-07-02 19:00:00,1751482800
44457.2,44471.2,44426.2,44437.2,4792,480,2025-07-02 20:00:00,1751486400
44437.7,44489.7,44421.7,44471.7,4632,480,2025-07-02 21:00:00,1751490000
44472.2,44493.7,44461.7,44480.6,5203,480,2025-07-02 22:00:00,1751493600
44481.6,44512.1,44456.0,44495.5,1439,480,2025-07-02 23:00:00,1751497200
44486.6,44496.0,44462.1,44491.7,643,520,2025-07-03 01:00:00,1751504400
44492.2,44505.7,44486.6,44504.7,554,520,2025-07-03 02:00:00,1751508000
44503.7,44518.6,44487.2,44492.2,1123,520,2025-07-03 03:00:00,1751511600
44491.7,44500.6,44477.6,44484.2,1038,520,2025-07-03 04:00:00,1751515200
44483.7,44485.2,44443.2,44478.7,856,520,2025-07-03 05:00:00,1751518800
44476.7,44522.1,44475.2,44494.7,1103,520,2025-07-03 06:00:00,1751522400
44495.2,44517.7,44493.7,44504.7,679,520,2025-07-03 07:00:00,1751526000
44503.7,44514.7,44493.2,44510.2,793,520,2025-07-03 08:00:00,1751529600
44510.8,44532.3,44495.3,44513.3,1255,500,2025-07-03 09:00:00,1751533200
44512.8,44534.8,44495.3,44500.3,1723,500,2025-07-03 10:00:00,1751536800
44499.8,44503.8,44455.8,44455.8,1334,500,2025-07-03 11:00:00,1751540400
44456.3,44501.8,44455.8,44495.8,1578,500,2025-07-03 12:00:00,1751544000
44496.8,44512.8,44475.8,44509.8,1076,500,2025-07-03 13:00:00,1751547600
44510.8,44522.8,44490.8,44513.3,1585,500,2025-07-03 14:00:00,1751551200
44509.3,44621.3,44499.3,44514.7,4185,500,2025-07-03 15:00:00,1751554800
44514.2,44745.6,44511.7,44699.7,7116,480,2025-07-03 16:00:00,1751558400
44711.2,44875.3,44700.6,44834.3,7633,480,2025-07-03 17:00:00,1751562000
44833.8,44869.3,44772.3,44833.8,5580,480,2025-07-03 18:00:00,1751565600
44834.3,44880.3,44789.3,44800.2,5514,480,2025-07-03 19:00:00,1751569200
44798.2,44845.2,44791.2,44810.3,1091,480,2025-07-03 20:00:00,1751572800
44773.2,44786.9,44741.2,44752.8,1231,520,2025-07-04 01:00:00,1751590800
44751.8,44760.4,44741.4,44748.9,620,520,2025-07-04 02:00:00,1751594400
44747.9,44748.9,44718.4,44718.9,1261,520,2025-07-04 03:00:00,1751598000
44719.4,44763.9,44716.4,44738.9,1022,520,2025-07-04 04:00:00,1751601600
